frame	time	centroid_l	centroid_r	spread_l	spread_r	flux_l	flux_r	flatness_l	flatness_r	rolloff_l	rolloff_r	rms_l	rms_r	peak_l	peak_r
1763	73.398367	1719.97	1997.12	3528.7	3777.98	0.0142432	0.0181755	0.159969	0.175764	3122.31	3811.38	-21.332010	-21.346243	-11.759207	-13.708853
1764	73.44	3127.05	2191.7	4468.47	3870.96	0.0202527	0.014625	0.300432	0.206026	7795.02	4349.71	-22.494573	-22.427525	-13.278918	-13.872584
1765	73.481633	1908.12	1904	3736.33	3567.7	0.0183729	0.0114562	0.15972	0.154579	3768.31	2950.05	-24.082811	-23.837017	-15.250010	-16.327421
1766	73.523265	2302.54	2489.99	4125.86	4069.25	0.0211752	0.00984473	0.19563	0.215682	6093.9	5706.3	-22.642378	-22.184090	-13.757278	-13.528178
1767	73.564898	2019.44	2109.03	3912.95	3928.86	0.0185004	0.0133868	0.145206	0.14928	5103.37	5275.63	-21.968150	-25.454468	-14.884070	-17.403924
1768	73.606531	3842.19	2440.32	4952.18	4106.52	0.0183258	0.0131536	0.310527	0.198085	9797.61	6158.5	-22.644255	-25.701537	-13.933732	-15.748286
1769	73.648163	3094.45	3022.76	4436.2	4381.93	0.012614	0.0128908	0.281112	0.279305	7536.62	7493.55	-21.864298	-25.776256	-12.754302	-15.477001
1770	73.689796	3116.77	2898.22	4615.55	4151.98	0.0148352	0.0145262	0.250322	0.258398	8720.95	6072.36	-23.410392	-27.640851	-15.918740	-18.931269
1771	73.731429	1538.89	2116.99	3275.89	3766.01	0.0161909	0.0118677	0.11413	0.156682	1787.26	4349.71	-22.124457	-27.790433	-12.678677	-20.805222
1772	73.773061	3469.4	2026.16	4822.69	3727.56	0.0105939	0.0125165	0.215749	0.136687	9259.28	4500.44	-21.735836	-23.500830	-12.768424	-14.605115
1773	73.814694	2472.55	1833.57	4262.28	3706.34	0.0187705	0.0211985	0.169567	0.125032	7256.69	3402.25	-19.797680	-23.456582	-11.427848	-15.036101
1774	73.856327	1668.08	2922.7	3465.43	4119.55	0.0159898	0.0169593	0.12861	0.267291	2304.05	5684.77	-19.382152	-23.879766	-10.292250	-14.660490
1775	73.897959	2633.91	2489.46	4136.9	3998.25	0.0145972	0.0185705	0.232564	0.233875	5275.63	5167.97	-20.240868	-24.190012	-12.010636	-15.604769
1776	73.939592	2706.07	1963.81	4417.48	3626.55	0.0247401	0.00807535	0.195926	0.155612	7816.55	3832.91	-19.879863	-23.955129	-12.460282	-15.150777
1777	73.981224	2255.86	2233.3	4069.46	3916.98	0.0171913	0.0186748	0.147181	0.161455	6524.56	5534.03	-21.116634	-22.154214	-13.370234	-14.591011
1778	74.022857	2531.74	1617.95	4281.15	3481.68	0.0133129	0.0234245	0.180368	0.122116	7364.36	1894.92	-20.483301	-22.844690	-12.178978	-15.361646
1779	74.06449	2140.91	1908.58	3976.3	3733.93	0.0116884	0.0129181	0.143842	0.134433	5620.17	4177.44	-18.763335	-21.371034	-11.775278	-13.115959
1780	74.106122	3600.59	2285.71	4662.96	4048.59	0.0237599	0.00915097	0.337134	0.179706	8225.68	6007.76	-20.872711	-21.832678	-13.279276	-14.162910
1781	74.147755	2347.63	2379.6	3905.65	4014.01	0.0173036	0.0159675	0.210258	0.229062	4844.97	5103.37	-24.204351	-24.452270	-14.071338	-15.345139
1782	74.189388	3430.68	2871	4838.25	4225.85	0.0221284	0.0154622	0.244735	0.230986	9431.54	5663.23	-24.893391	-24.071304	-15.467415	-13.707626
1783	74.23102	2454.73	2239.16	4172.91	3927.81	0.0104386	0.0181621	0.180842	0.166394	6782.96	5447.9	-22.912532	-25.030850	-13.194795	-16.760809
1784	74.272653	3498.31	2550.1	4470.81	4372.88	0.0142302	0.0125415	0.315252	0.231123	7105.96	6782.96	-21.173395	-23.331621	-12.190308	-16.565157
1785	74.314286	2275.59	2130.45	4030.72	3950.22	0.0206152	0.0128715	0.184022	0.170311	5857.03	5404.83	-21.962246	-26.558588	-13.687369	-17.135133
1786	74.355918	1469.72	2552.77	3242.46	4218.64	0.0191863	0.0225682	0.113789	0.190208	1744.19	7192.09	-24.441837	-25.726484	-13.203580	-18.022062
1787	74.397551	2498.42	2382.34	4134.08	3990.38	0.0213659	0.00856091	0.204016	0.193606	5835.5	5361.77	-26.020798	-23.733616	-18.864868	-16.156427
1788	74.439184	2144.99	2682.33	3925.87	4140.24	0.0135821	0.0148365	0.178527	0.251479	4823.44	6029.3	-25.080384	-25.517239	-16.294237	-16.920696
1789	74.480816	2107.19	2613.37	3954.98	4058.64	0.00984186	0.0152372	0.176252	0.228647	5060.3	5878.56	-22.223506	-23.937018	-12.240505	-14.793687
1790	74.522449	3161.13	1981.54	4702.62	3746.91	0.0170676	0.0202852	0.20541	0.133601	8871.68	4263.57	-18.545995	-27.870996	-10.763178	-20.144426
1791	74.564082	2402.54	2327.54	3971.7	4024.27	0.0194301	0.016588	0.195737	0.170011	5038.77	6007.76	-19.846639	-27.881042	-11.751430	-19.014288
1792	74.605714	2126.59	3175.1	3909.32	4245.07	0.0223924	0.0106248	0.15075	0.291534	5232.57	6201.56	-20.569419	-26.452210	-11.712668	-17.688244
1793	74.647347	2290.24	2244.91	3833.4	3978.94	0.0160537	0.0132992	0.209463	0.196727	4500.44	5189.5	-20.138979	-24.519867	-12.604764	-16.577198
1794	74.68898	2765.36	2238.66	4431.83	3911.99	0.0115797	0.0163446	0.215923	0.19212	8031.88	5081.84	-22.702983	-26.707355	-12.361452	-15.732297
1795	74.730612	1814.48	2431.03	3576.58	3917.09	0.0123641	0.017389	0.159116	0.208369	3014.65	5146.44	-23.715124	-28.177958	-15.917513	-18.439137
1796	74.772245	2166.81	2584.56	3876.1	4249.75	0.0118878	0.00743645	0.179404	0.206519	4952.64	7235.16	-24.025326	-22.237926	-15.954506	-14.707280
1797	74.813878	3385.56	2300.89	4610.33	4160.03	0.0108819	0.0169534	0.284578	0.195917	8462.55	5835.5	-23.900311	-25.329889	-15.074172	-17.056490
1798	74.85551	1991.44	2303.69	3826.34	4046.37	0.0141491	0.0106679	0.158893	0.177409	4629.64	6115.43	-21.294788	-24.386842	-11.120408	-15.552705
1799	74.897143	3225.37	2394.81	4743.41	4047.31	0.0202767	0.00971619	0.23094	0.186389	9216.21	5577.1	-22.244305	-22.812715	-11.673180	-13.248730
1800	74.938776	3157.23	2578.07	4715.8	3898.36	0.0205112	0.0142419	0.283096	0.232909	8785.55	5124.9	-21.682779	-26.460915	-12.642979	-17.197076
1801	74.980408	3581.61	2297.27	4876.23	3980.62	0.00956545	0.0184108	0.22172	0.178229	9819.14	5835.5	-26.011731	-28.376443	-17.042255	-18.435827
1802	75.022041	3686.64	2689.14	4573.77	4356.92	0.0220863	0.00924817	0.351213	0.227583	8161.08	7558.15	-24.552240	-24.195471	-15.496780	-17.709269
1803	75.063673	2114.04	2402.12	3846.4	4075.02	0.0158394	0.0143972	0.162179	0.19077	4758.84	6266.16	-23.381183	-22.594711	-14.677797	-14.620763
1804	75.105306	3874.91	2390.7	5000.18	4000.36	0.0170527	0.019879	0.286301	0.198065	9969.87	5857.03	-25.661969	-24.220609	-16.933921	-14.778744
1805	75.146939	2734.77	2556.67	4315.92	4148.54	0.0106904	0.0130348	0.231309	0.222402	7170.56	6266.16	-24.788225	-23.662107	-16.940992	-14.475723
1806	75.188571	3127.12	2286.76	4670.08	4064.5	0.0125372	0.019284	0.225884	0.171402	9022.41	5964.7	-26.140091	-23.685600	-15.155208	-13.556649
1807	75.230204	3653.91	2577.1	4910.46	4271.41	0.0150017	0.0106018	0.256377	0.188311	9689.94	7342.82	-25.672866	-26.195400	-15.569676	-17.945828
1808	75.271837	3575.96	3004.36	4692.94	4636.18	0.0106466	0.00926453	0.297178	0.254247	9302.34	8484.08	-24.641921	-25.464224	-16.703328	-17.239056
1809	75.313469	2898.28	3076.45	4394.95	4605.83	0.0138203	0.0111904	0.240951	0.259693	7751.95	8656.35	-24.959278	-26.911934	-15.814934	-16.246657
1810	75.355102	2715.78	3419.16	4457.45	4268.02	0.0175965	0.0134398	0.248238	0.310435	7342.82	6567.63	-25.340937	-26.608535	-16.059772	-17.492324
1811	75.396735	3143.78	2520.2	4445.79	4104.29	0.012409	0.0114591	0.248911	0.193181	8118.02	5275.63	-21.739752	-25.864228	-13.067861	-16.754265
1812	75.438367	2484.96	2122.85	4143.44	3965.75	0.0213465	0.0145625	0.189544	0.168099	6610.69	5081.84	-20.779093	-26.857652	-13.078501	-18.570830
1813	75.48	2645.72	2397.16	4225.74	4185.96	0.0150465	0.0105632	0.195353	0.19945	7278.22	6330.76	-22.909137	-25.059479	-15.504332	-16.396273
1814	75.521633	2649.1	2113.5	4277.78	3909.18	0.0145245	0.0142373	0.204329	0.166614	7342.82	5146.44	-24.444999	-27.814529	-15.329367	-18.599445
1815	75.563265	4085.2	2457.33	5039.48	4146.07	0.00880632	0.0130887	0.331239	0.182272	10594.3	6761.43	-24.758093	-24.932043	-14.356920	-15.513129
1816	75.604898	2807.14	2599.72	4454.92	4028.58	0.0148633	0.0109224	0.237108	0.23195	7773.49	5447.9	-24.532392	-25.465904	-13.300305	-15.992696
1817	75.646531	3028.15	3322.4	4520.39	4372.85	0.0149929	0.0128445	0.278798	0.304517	7902.69	6632.23	-24.841385	-26.848281	-15.410295	-19.191222
1818	75.688163	2962.95	2773.85	4338.26	4479.41	0.0139824	0.0125045	0.262524	0.249231	7579.69	7644.29	-26.588123	-26.412274	-16.576552	-17.853746
1819	75.729796	3557.27	2428.51	4560.83	4205.75	0.0111493	0.0104251	0.33731	0.210012	8074.95	6395.36	-26.900178	-26.484720	-16.983125	-17.940548
1820	75.771429	3997.95	2653.37	4952.72	4072.88	0.0120967	0.00851975	0.346612	0.227923	10077.5	5081.84	-24.785534	-23.886933	-15.305447	-16.827112
1821	75.813061	3107.68	2008.38	4677.69	3813.26	0.0142921	0.0122011	0.211769	0.148932	8828.61	4349.71	-23.608159	-25.578462	-15.111360	-16.259489
1822	75.854694	4024.61	2649.34	5036.74	4366.02	0.0123247	0.0162339	0.259583	0.193681	10357.5	7536.62	-24.261290	-21.640555	-13.804006	-14.291936
1823	75.896327	3791.36	2150.53	4966.2	3982.53	0.00971989	0.0160944	0.241814	0.151748	10249.8	5770.9	-22.977023	-24.106264	-11.969560	-15.448846
1824	75.937959	3393.31	2293.13	4647.52	4102.92	0.013349	0.0144175	0.297074	0.206813	9108.54	5835.5	-23.797187	-22.209835	-15.270000	-12.164029
1825	75.979592	2509.26	2572.55	4190.53	3915.64	0.0131255	0.0202686	0.234766	0.227101	5663.23	5017.24	-23.117048	-23.949310	-15.386875	-14.528687
1826	76.021224	2322.35	3003.72	4137.38	4139.12	0.0105206	0.0217006	0.207481	0.275792	5878.56	5792.43	-22.169047	-24.636114	-13.173114	-16.607347
1827	76.062857	2573.21	2030.09	4316.61	3858.18	0.0118528	0.0131273	0.202516	0.159501	7256.69	4500.44	-18.426700	-24.041799	-9.844228	-14.190914
1828	76.10449	3184.71	1781.96	4386.04	3617.03	0.0368229	0.0146714	0.292869	0.131663	6761.43	3229.98	-22.291221	-24.717509	-12.807284	-16.049147
1829	76.146122	3263.44	2308.04	4771.18	4061.13	0.0297206	0.0169457	0.214031	0.156635	9539.21	6373.83	-25.127585	-24.765256	-16.091090	-17.377822
1830	76.187755	3146.38	2398.51	4680.29	4108.19	0.0120315	0.0165027	0.193607	0.159266	9280.81	6632.23	-22.017588	-24.337447	-11.611268	-16.682436
1831	76.229388	3084.14	2383.38	4380.2	4103.38	0.0104646	0.0169306	0.289807	0.21268	6804.49	5727.83	-22.907568	-23.425789	-14.875191	-16.016951
1832	76.27102	2085.23	2222.27	3767.84	3846.41	0.0165736	0.0182142	0.185024	0.198991	5017.24	4608.11	-20.932104	-22.936094	-12.570325	-14.650815
1833	76.312653	1689.49	1933.37	3516.16	3605.74	0.0162507	0.0144257	0.118373	0.138951	2368.65	3143.85	-22.077621	-22.854602	-14.634536	-15.706841
1834	76.354286	3553.22	2011.86	4883.04	3794.03	0.0143521	0.0161509	0.230637	0.143981	9754.54	4543.51	-22.184777	-22.971460	-13.941855	-13.998568
1835	76.395918	3354.69	2018.12	4756.75	3726.94	0.0165752	0.0118357	0.260427	0.167908	9043.95	3854.44	-21.800969	-22.245412	-12.861300	-14.629093
1836	76.437551	2456.57	2342.78	3882.13	3969.72	0.0161941	0.0195836	0.219333	0.215315	4780.37	5211.04	-22.992320	-25.196816	-14.716488	-16.586191
1837	76.479184	1788.05	2489.18	3632.68	4118.14	0.0105291	0.0163277	0.14843	0.20686	3165.38	6481.49	-22.403966	-24.650017	-13.696160	-16.635833
1838	76.520816	2739.94	2534.68	4326.78	4090.51	0.0114743	0.0149271	0.241706	0.227969	6826.03	5964.7	-23.477764	-26.571386	-14.824378	-19.254938
1839	76.562449	2582.44	2931	3966.68	4588.84	0.0149625	0.0128749	0.235516	0.263797	5297.17	8268.75	-24.450849	-23.209349	-15.526556	-15.601237
1840	76.604082	2186.79	2429.28	3882.36	4190.65	0.0100848	0.0113548	0.166526	0.175011	5275.63	7149.02	-23.248487	-24.698071	-15.945413	-13.997498
1841	76.645714	1926.26	2686.67	3702.55	4168.25	0.0156809	0.0108254	0.17009	0.256337	3854.44	6223.1	-21.906160	-25.803812	-12.178597	-17.305973
1842	76.687347	1956.39	2675.8	3637.69	4222.88	0.0108556	0.0111765	0.158856	0.244101	3875.98	6459.96	-23.170560	-22.675235	-15.356971	-14.755792
1843	76.72898	2312.13	2647.52	4059.54	3971.46	0.0178341	0.0167816	0.182295	0.199297	5878.56	5060.3	-21.572508	-26.694502	-13.778728	-17.380742
1844	76.770612	1880.39	2013.4	3674.03	3706.77	0.017236	0.014491	0.138557	0.149428	3639.11	3940.58	-23.155230	-27.244218	-11.526199	-18.940183
1845	76.812245	3429.52	2640.61	4644.9	4355.96	0.0218181	0.0118741	0.276119	0.20346	8677.88	7364.36	-21.343293	-25.952148	-13.493974	-18.605454
1846	76.853878	2225.51	2343.92	3911.16	4106.4	0.0163603	0.0106237	0.187107	0.185193	5103.37	6567.63	-20.959458	-24.054629	-12.769804	-15.185817
1847	76.89551	2152.63	1976.36	3687.86	3816.26	0.0157046	0.0167731	0.16449	0.154783	4069.78	4414.31	-18.733129	-23.250674	-11.066084	-15.918632
1848	76.937143	2184.16	2510.03	3972.02	4255.3	0.0182454	0.010978	0.157087	0.184707	5835.5	7235.16	-20.612984	-23.046537	-12.123070	-15.810701
1849	76.978776	2668.18	2650.9	4407.86	4112.94	0.012564	0.0136602	0.217179	0.232781	7472.02	5857.03	-22.981374	-24.652329	-16.459832	-15.466033
1850	77.020408	2261.04	2740.81	4085.5	4266.62	0.0222015	0.0140477	0.176948	0.209546	6158.5	7127.49	-21.408117	-23.470832	-12.690891	-15.478007
1851	77.062041	3037.44	2381.69	4647.32	4156.56	0.0173047	0.0113969	0.219357	0.17481	8742.48	6589.16	-21.434918	-25.158676	-11.387066	-13.368256
1852	77.103673	2595.12	2832.27	4065.43	4304.22	0.0151989	0.020249	0.216442	0.244536	5211.04	7062.89	-20.602786	-23.248523	-13.898433	-13.973036
1853	77.145306	3352.95	1704.82	4745.01	3469.13	0.0178497	0.0172038	0.274984	0.131806	9216.21	2411.72	-20.394585	-23.755357	-12.506403	-16.078205
1854	77.186939	1868.66	2090.62	3517.01	3923.19	0.0135473	0.00822228	0.159759	0.181628	3402.25	4974.17	-21.892770	-22.429018	-15.574835	-14.932761
1855	77.228571	2022.71	2172.02	3699.24	3948.25	0.0223763	0.0156708	0.17818	0.168651	3832.91	5297.17	-23.292758	-22.197815	-14.703870	-14.132080
1856	77.270204	3955.66	2657.01	4972.34	4121.32	0.0189055	0.00896981	0.325037	0.226275	10249.8	5835.5	-22.634968	-27.040183	-14.005589	-16.710130
1857	77.311837	2383.41	2499.13	4256.25	3851.76	0.0116605	0.0142121	0.216435	0.22327	6567.63	4801.9	-22.173438	-26.227360	-14.485813	-19.239207
1858	77.353469	2545.06	2415.11	3928.43	4143.4	0.00907739	0.0150074	0.227729	0.216081	4995.7	6287.7	-21.949784	-30.172317	-14.244786	-19.869650
1859	77.395102	1751.28	2988.79	3497.39	4477.54	0.0144713	0.0141178	0.138763	0.22441	2734.72	8419.48	-20.394580	-27.710865	-13.055107	-18.173966
1860	77.436735	2078.83	2864.58	3980.54	4432.14	0.0218163	0.00901082	0.135432	0.203363	5964.7	8333.35	-20.157392	-26.789283	-12.559275	-14.252366
1861	77.478367	2042.67	2634.4	3887.59	4117.77	0.0101174	0.014341	0.162357	0.240283	4823.44	5921.63	-19.489802	-26.193188	-12.332058	-16.982451
1862	77.52	2096.73	2993.01	3648.66	4166.3	0.014003	0.0140102	0.192189	0.281666	3789.84	5813.96	-18.414374	-24.607504	-10.280760	-15.973936
1863	77.561633	1778.87	1956.18	3434.16	3760.2	0.0135667	0.0137424	0.154211	0.173399	2885.45	3488.38	-19.964464	-26.435899	-12.049592	-18.604250
1864	77.603265	1578.58	2579.27	3326.92	4218.76	0.0141984	0.0109884	0.108195	0.182781	1981.05	7192.09	-21.579859	-26.665915	-13.528798	-17.458015
1865	77.644898	2670.75	2868.64	4358.39	4439.07	0.0152072	0.00987527	0.169944	0.200617	7515.09	8139.55	-21.078181	-24.761727	-12.654846	-16.006774
1866	77.686531	2548.35	2607.23	4349.59	4307.43	0.0113597	0.0240481	0.164597	0.18185	7515.09	7687.35	-21.581267	-25.004311	-15.133109	-16.150985
1867	77.728163	2892.47	2935.14	4522.83	4252.73	0.0134159	0.0133124	0.206678	0.205915	8204.15	6180.03	-21.763957	-25.107904	-13.762637	-16.681666
1868	77.769796	2784.2	2840.6	4152.59	4172.28	0.0153965	0.0166904	0.225737	0.22735	5620.17	6136.96	-22.801886	-28.803050	-14.855594	-18.674435
1869	77.811429	2611.72	2812.57	4062.35	4415.01	0.0142044	0.0120651	0.235559	0.256883	5792.43	7450.49	-23.696276	-26.220649	-17.651501	-18.032495
1870	77.853061	1995.93	2581.21	3790.9	4179.75	0.0118037	0.0147568	0.148796	0.184135	4349.71	6976.76	-21.732622	-24.674375	-15.333517	-16.575936
1871	77.894694	3104.51	2870.47	4678.92	4499.53	0.00813946	0.0160324	0.209152	0.198878	8936.28	8484.08	-24.360608	-24.693123	-15.449900	-15.667668
1872	77.936327	1977.22	3449.75	3760.59	4396.12	0.0120946	0.0143824	0.165351	0.315989	3768.31	6718.36	-22.749230	-25.852041	-14.318896	-14.790685
1873	77.977959	2086.9	2825.03	3981.34	4087.53	0.0109641	0.014253	0.174869	0.263651	5103.37	5921.63	-20.937454	-24.343254	-13.411802	-14.818041
1874	78.019592	2561.76	2255.21	4043.65	3950.47	0.013235	0.0121573	0.230642	0.20657	5167.97	4737.3	-24.113184	-25.566102	-15.991424	-17.600782
1875	78.061224	2894.3	2306.19	4291.71	4148.87	0.0174733	0.00721578	0.280114	0.209817	6632.23	5878.56	-23.261099	-24.642040	-15.408302	-16.859719
1876	78.102857	2488.78	2458.71	3985.82	4064.17	0.0137234	0.0151671	0.225679	0.181859	5211.04	5490.97	-21.965828	-24.992820	-14.619904	-16.317567
1877	78.14449	1903.84	2093.11	3626.81	3835.76	0.0138848	0.0148218	0.15046	0.167872	3596.04	4758.84	-26.510934	-27.196588	-18.694652	-19.592623
1878	78.186122	2400.16	2334.27	4045.55	3892.07	0.0178955	0.0137755	0.17813	0.175051	6244.63	5361.77	-22.732312	-24.952537	-15.559275	-17.679635
1879	78.227755	3403.6	2593.12	4817.95	4108.16	0.0175291	0.0145072	0.226492	0.176547	9474.61	5383.3	-25.718280	-24.190034	-18.107221	-15.447520
1880	78.269388	3121.51	2178.2	4605.58	3958.28	0.0141745	0.0130207	0.261955	0.166664	8699.41	5297.17	-27.758666	-25.136997	-17.502899	-17.325690
1881	78.31102	3420.93	2663.44	4454.68	4362.47	0.018199	0.0155576	0.309682	0.211314	7364.36	7687.35	-23.526168	-28.099972	-15.222375	-18.121028
1882	78.352653	2927.4	3499.46	4178.84	4742.29	0.0156057	0.0129697	0.240094	0.258247	5641.7	9496.14	-20.600641	-26.515739	-12.350202	-15.887747
1883	78.394286	2351.71	3492.67	4164.86	4534.87	0.0298905	0.012796	0.207808	0.316553	6416.89	8118.02	-20.039878	-22.550919	-12.433993	-14.433479
1884	78.435918	1553.89	2386.92	3279.49	3982.7	0.0133554	0.0165728	0.112492	0.207876	1937.99	5167.97	-22.857304	-23.292510	-14.039437	-15.093815
1885	78.477551	2444.2	2309.04	4240.43	3841.07	0.0154226	0.021406	0.163917	0.1598	7278.22	5167.97	-24.052087	-20.237805	-16.433739	-13.448107
1886	78.519184	2504.4	1564.26	4212.13	3334.13	0.0203253	0.0280764	0.174712	0.10555	7105.96	1830.32	-25.242335	-24.641646	-12.663825	-16.576690
1887	78.560816	3849.77	2018.26	4872.95	3829.35	0.0162385	0.0189778	0.262195	0.144837	9754.54	4521.97	-21.741927	-22.509067	-13.844483	-15.004627
1888	78.602449	1937.12	2142.71	3636.23	3925.9	0.0138034	0.0133473	0.156942	0.169459	3617.58	5146.44	-22.447359	-22.057594	-12.850062	-13.782886
1889	78.644082	2614.85	2065.52	4182.81	3850.34	0.0125342	0.0132426	0.249132	0.154752	6352.29	4844.97	-21.702595	-23.523437	-13.593020	-15.272758
1890	78.685714	3427.51	3292.79	4678.74	4446.82	0.01918	0.0177064	0.324908	0.31622	8936.28	7364.36	-19.859507	-22.509638	-13.161601	-13.854881
1891	78.727347	2495.29	1993.56	4012.75	3777.94	0.0207582	0.0166538	0.228393	0.178364	5275.63	3703.71	-20.189564	-22.158413	-12.187488	-14.423962
1892	78.76898	1620.64	1920.51	3422.72	3665.54	0.0165491	0.0174674	0.114247	0.13542	2024.12	4349.71	-25.209410	-21.344687	-17.051375	-14.174606
1893	78.810612	3928.98	2054.67	4958.28	3874.73	0.0317703	0.0137515	0.269723	0.149923	10465.1	4931.1	-21.309099	-23.685243	-13.415570	-16.358549
1894	78.852245	3533.49	2391.48	4878.04	4126.58	0.0144831	0.0161211	0.228545	0.157358	9948.34	6632.23	-22.332888	-24.507357	-15.259976	-14.635260
1895	78.893878	2138.08	2599.7	3931.31	4306.3	0.013125	0.0122254	0.148413	0.170874	5426.37	7795.02	-26.159130	-23.252105	-18.172539	-15.145421
1896	78.93551	3003.59	2704.73	4341.9	4352.6	0.0269822	0.00987752	0.234789	0.193446	7213.62	7838.09	-27.145176	-24.082417	-16.689234	-15.806553
1897	78.977143	3349.93	3155.06	4574.92	4336.33	0.0131473	0.0169577	0.258694	0.220385	8354.88	5857.03	-24.942942	-24.244199	-13.883906	-15.718372
1898	79.018776	3270.04	2612.78	4468.99	4068.81	0.0146828	0.0211434	0.308018	0.245819	7924.22	5555.57	-20.610917	-25.078983	-12.763801	-15.419064
1899	79.060408	2104.76	2502.57	3646.03	4027.06	0.0222143	0.017542	0.192094	0.232488	3811.38	5275.63	-21.069008	-24.882530	-13.809062	-17.116236
1900	79.102041	1639.26	2228.33	3323.75	3989.34	0.0121254	0.0161317	0.117325	0.161091	1981.05	5835.5	-20.734386	-23.779415	-13.435029	-14.719790
1901	79.143673	1626.51	2669.75	3275.15	4330.49	0.0184058	0.00998019	0.119336	0.193344	2304.05	7945.75	-22.984524	-22.082706	-15.106279	-12.319917
1902	79.185306	4254.76	2554.16	5126.86	4014.78	0.0212857	0.0279506	0.267609	0.220938	10809.7	4995.7	-20.999529	-24.064513	-12.045145	-15.374520
1903	79.226939	2482.86	2460.01	4247.95	4054.46	0.0208896	0.0236772	0.189087	0.203108	7407.42	6007.76	-19.677028	-24.297939	-11.948504	-14.433627
1904	79.268571	2854.67	2333.84	4410.2	4118.02	0.0219616	0.0117168	0.222503	0.18864	7859.62	6309.23	-22.786439	-24.423243	-10.550881	-15.669344
1905	79.310204	3657.63	2575.06	4581.03	4130.16	0.0171043	0.0110296	0.33186	0.241064	8290.28	5146.44	-24.604657	-27.436448	-14.353293	-17.875593
1906	79.351837	3599.57	2797.09	4817.04	4387.42	0.0193575	0.0201344	0.307828	0.225912	9776.07	7816.55	-21.183681	-26.629311	-14.365116	-17.137255
1907	79.393469	2668.06	2698.07	4258.25	4295.92	0.0193799	0.00785023	0.190481	0.189787	7385.89	7665.82	-20.887088	-24.453808	-12.597527	-17.195289
1908	79.435102	3008.36	2491.32	4601.89	4147.68	0.0174821	0.017793	0.189106	0.176078	9043.95	6675.29	-21.586709	-26.101448	-14.898307	-16.156952
1909	79.476735	1756.33	2856.59	3492.07	4261.19	0.0202579	0.0122512	0.138841	0.249149	2497.85	6912.16	-19.151244	-26.802725	-9.970667	-13.718870
1910	79.518367	2619.52	3391.07	4234.9	4704.92	0.0199088	0.00996643	0.226847	0.302328	6955.22	9108.54	-19.890320	-28.078822	-11.677001	-16.900019
1911	79.56	2043.23	3131.19	3817.27	4261.6	0.0159992	0.0107821	0.170381	0.276485	4177.44	6309.23	-21.702266	-26.426663	-13.364783	-16.852678
1912	79.601633	2797.59	2372.21	4163.1	4045.25	0.0217707	0.0131402	0.213533	0.174874	6287.7	6223.1	-21.108893	-27.340075	-13.175009	-20.793898
1913	79.643265	1617.22	2350.51	3242.56	4058.02	0.0137203	0.0064184	0.114055	0.169673	2088.72	6201.56	-19.734060	-27.437516	-11.945985	-18.524317
1914	79.684898	2962.08	2331.04	4531.22	4034.73	0.0155521	0.00805629	0.175309	0.159424	8613.28	6136.96	-20.421782	-28.073350	-12.097233	-19.086279
1915	79.726531	1798.94	2878.12	3557.53	4404.29	0.0172071	0.00713485	0.117729	0.198534	2950.05	8182.62	-21.391511	-23.081917	-12.185315	-13.059405
1916	79.768163	2979.56	2958.83	4590.05	4176.32	0.0112246	0.0209157	0.240964	0.233675	8161.08	5361.77	-19.888223	-24.155368	-11.548659	-16.083426
1917	79.809796	3445.2	2431.82	4704.69	4053.52	0.0162638	0.0180589	0.281097	0.222159	9173.14	5189.5	-21.029982	-26.846266	-13.145452	-19.086832
1918	79.851429	2390.15	2501.53	3857.24	4202.79	0.0149496	0.00968669	0.213977	0.227724	4500.44	5706.3	-20.447025	-26.498491	-13.308251	-16.206415
1919	79.893061	1704.73	2364.77	3341.97	4011.67	0.0178546	0.010867	0.145866	0.163525	2820.85	6223.1	-18.116974	-23.078980	-10.779188	-13.653706
1920	79.934694	2143.71	1925.74	3862.78	3696.38	0.0236904	0.0181359	0.143447	0.130523	5534.03	3725.24	-20.727694	-22.665741	-12.307734	-13.886444
1921	79.976327	2947.44	2025.32	4478.26	3817.5	0.032779	0.0136075	0.198149	0.140388	8505.62	4844.97	-18.947561	-22.339740	-11.405225	-14.987892
1922	80.017959	1911.29	2207.03	3747.08	4003.44	0.0428313	0.00945041	0.134506	0.152513	4629.64	5878.56	-23.254580	-24.486641	-13.624519	-15.584865
1923	80.059592	3091.25	3191.79	4428.4	4524.16	0.0362772	0.0162271	0.267442	0.258487	8031.88	8871.68	-20.688488	-23.413011	-11.042665	-15.912964
1924	80.101224	3555.27	2479.49	4715.29	4176.21	0.0152261	0.0121196	0.332058	0.226855	9194.68	6330.76	-18.885569	-23.320283	-11.816974	-16.568182
1925	80.142857	2119.58	2822.07	3742.2	4464.32	0.0282064	0.015664	0.195484	0.243789	4155.91	7816.55	-20.457120	-24.168685	-12.460735	-17.115669
1926	80.18449	2930.24	2939.99	4349.36	4537.34	0.0432905	0.00899328	0.224352	0.231657	7945.75	8311.82	-20.857296	-23.082311	-11.915699	-14.661175
1927	80.226122	2242.13	3302.45	3948.26	4451.95	0.020333	0.0128447	0.164456	0.217406	5383.3	7019.82	-19.342480	-23.705893	-12.721977	-15.037039
1928	80.267755	2962.64	2441.16	4620.19	4069.95	0.0152024	0.0163624	0.234706	0.215643	8505.62	5555.57	-20.451886	-25.569494	-12.531647	-18.045556
