frame	time	centroid_l	centroid_r	spread_l	spread_r	flux_l	flux_r	flatness_l	flatness_r	rolloff_l	rolloff_r	rms_l	rms_r	peak_l	peak_r
37	1.540408	1836.66	4688.61	3486.52	5199.84	0.00375105	0.00335395	0.169565	0.361771	3186.91	11348	-32.810252	-38.204821	-25.887142	-29.595354
38	1.582041	5764.91	4641.56	5310.85	5168.47	0.00381299	0.00184979	0.430653	0.345574	12489.3	10831.2	-31.337584	-37.998057	-16.036594	-28.994520
39	1.623673	2147.79	3980.08	3674.75	5101.11	0.00621351	0.00596396	0.195459	0.329783	3639.11	10379	-33.253143	-34.133867	-25.347715	-27.357866
40	1.665306	6420.45	4642.7	5307.23	5284.22	0.00604888	0.0048848	0.488025	0.394367	13113.7	11240.3	-34.329145	-35.947160	-16.651146	-27.674114
41	1.706939	4239.26	4293.24	5080.42	5133.87	0.00295945	0.00349204	0.365001	0.337293	9969.87	10723.5	-33.544585	-34.642816	-15.971158	-26.777187
42	1.748571	7287.35	4458.7	5037.11	5136.72	0.00749934	0.00252262	0.374429	0.30563	13522.9	11089.6	-35.220733	-35.581310	-14.267767	-27.705649
43	1.790204	6848.67	4765.38	5234.1	5213.56	0.00402324	0.00306884	0.49262	0.358785	13092.2	11283.4	-34.789059	-36.719854	-17.559900	-28.043283
44	1.831837	2143.01	4401.46	3616.4	5100.26	0.00435002	0.0024445	0.198382	0.359946	3725.24	11132.7	-35.756716	-37.579744	-26.648030	-28.452374
45	1.873469	1826.89	4118.34	3519.26	5046.7	0.00701409	0.00319988	0.170649	0.332487	3100.78	10637.4	-32.464354	-36.630763	-25.694828	-27.393130
46	1.915102	3999.69	5135.55	4884.93	5311.14	0.00705323	0.00264062	0.348123	0.386315	9496.14	11757.1	-35.591999	-38.401192	-18.167907	-29.339902
47	1.956735	6447.08	4078.51	5381.72	4935.87	0.00739556	0.00281288	0.454926	0.277867	12855.3	10120.6	-32.191085	-35.305694	-15.255699	-26.087567
48	1.998367	2037.46	4344.22	3477.97	5137.34	0.00776013	0.00234501	0.183672	0.314489	3488.38	10809.7	-35.899669	-36.338767	-28.648094	-25.797992
49	2.04	2022.29	3256.83	3502.54	4782.87	0.00244708	0.00636903	0.184815	0.250933	3466.85	9151.61	-34.545091	-31.652974	-26.731746	-25.267759
50	2.081633	2144.64	4055.12	3644.59	5050.27	0.00318228	0.00531434	0.199821	0.320136	3725.24	10551.3	-38.757528	-33.551892	-28.295386	-25.422459
51	2.123265	4541.7	3529.54	5095.86	4859.22	0.00426489	0.00291127	0.382644	0.284943	10379	9733.01	-35.714502	-34.189793	-18.436869	-24.626136
52	2.164898	6183.7	4527.49	5394.66	5242.93	0.00383018	0.00348763	0.425621	0.341749	12640	11455.7	-34.666320	-37.166421	-14.010868	-28.678664
53	2.206531	6537.89	4347.44	5222.48	5099.25	0.0046572	0.00182671	0.471593	0.322964	12919.9	10852.7	-34.321845	-37.258859	-15.259539	-28.500816
54	2.248163	3393.79	4544.49	4670.33	5086.21	0.00407826	0.00338975	0.328842	0.347932	8828.61	10917.3	-36.707025	-39.054575	-28.209865	-27.748956
55	2.289796	2209.62	4565.38	3730.37	5124.43	0.00278827	0.0026561	0.213536	0.34241	3962.11	11068.1	-37.999186	-38.525743	-29.294967	-28.760570
56	2.331429	2456.68	3830.21	3861.91	4961.97	0.00343898	0.00251375	0.224358	0.326879	4306.64	10056	-37.243917	-36.392893	-27.711256	-28.137349
57	2.373061	1874.86	4610.55	3437.76	5179.8	0.00581601	0.0027985	0.158635	0.367843	2993.12	11175.7	-33.937073	-37.286316	-25.472465	-29.146899
58	2.414694	7318.96	4328.08	5143.39	5109.32	0.00544384	0.00309482	0.437452	0.324387	13156.8	10895.8	-35.748846	-36.610472	-15.306562	-27.164505
59	2.456327	8004.49	4155.82	4879.8	5115.53	0.00538137	0.00372568	0.43301	0.294285	13544.4	10551.3	-39.005715	-33.713082	-14.493223	-26.556001
60	2.497959	4080.4	4728	4958.28	5126.72	0.00523392	0.00595921	0.368696	0.35252	10099.1	11025	-37.323403	-38.108866	-13.692988	-28.241655
61	2.539592	7368.84	4936.15	5112.89	5212.11	0.00485864	0.00218821	0.37966	0.338016	13479.8	11455.7	-34.469067	-37.710902	-15.523622	-31.292580
62	2.581224	2425.88	4661.62	3914.33	5117.74	0.00554413	0.0027034	0.227272	0.378038	4328.17	11046.5	-37.137701	-40.534479	-28.815392	-29.711720
63	2.622857	2567.48	4464.58	3995.24	5098.97	0.00247514	0.00264261	0.243022	0.374256	4737.3	10831.2	-38.088162	-38.139205	-28.882884	-29.062842
64	2.66449	2104.35	4982.03	3635.97	5242.74	0.0052647	0.00348064	0.194286	0.381366	3746.78	11541.8	-35.869480	-40.472890	-27.555292	-30.337086
65	2.706122	2002.71	4773.42	3583.08	5169.02	0.0032608	0.00220357	0.187541	0.385157	3445.31	11218.8	-34.236487	-39.746493	-27.010866	-29.675082
66	2.747755	7147.03	4967.93	5145.66	5160.54	0.00572107	0.00178114	0.367143	0.375497	13178.3	11326.5	-32.931930	-40.434961	-14.657661	-30.780236
67	2.789388	2593.84	4554.38	4013.25	5117.15	0.00816003	0.00261549	0.24512	0.373476	4995.7	11089.6	-40.258528	-37.152026	-32.743824	-28.917371
68	2.83102	2471.07	4061.03	3820.26	5006.37	0.00169688	0.00347754	0.221682	0.329699	4177.44	10422.1	-39.836740	-36.557622	-29.689450	-28.731604
69	2.872653	2750.56	4062.44	4063.31	5010.58	0.00253887	0.00227773	0.270567	0.286942	5167.97	10508.2	-42.051001	-35.416060	-31.139306	-28.215165
70	2.914286	2234.18	4288.46	3788.75	5111.54	0.0040925	0.00212094	0.210608	0.346046	4112.84	10895.8	-37.704177	-36.554682	-29.592397	-27.401468
71	2.955918	2201.72	4228.33	3800.96	5044.71	0.00361299	0.00274525	0.204614	0.343804	3962.11	10615.9	-35.827458	-36.407125	-27.638178	-25.884755
72	2.997551	1922.51	4099.29	3441.98	5073.65	0.00352838	0.0041284	0.166957	0.311354	3229.98	10551.3	-33.679865	-34.994275	-23.858542	-25.904014
73	3.039184	1993.8	4242.6	3420.12	4973.63	0.00553768	0.00444752	0.16628	0.329525	3079.25	10831.2	-32.598531	-37.195151	-23.558995	-27.613263
74	3.080816	4801.9	4263.11	5160.61	5019.75	0.00548043	0.00292302	0.395421	0.358367	11197.3	10529.7	-34.327963	-37.964687	-15.715623	-28.320153
75	3.122449	3628.6	4285.82	4761.8	5044.53	0.0041572	0.00288968	0.358802	0.315223	8699.41	10508.2	-37.535928	-37.221045	-28.143863	-28.388141
76	3.164082	2161	4143.09	3680.28	5016.12	0.00280861	0.00296481	0.190583	0.33048	3746.78	10400.5	-36.785699	-36.070834	-27.481188	-27.921110
77	3.205714	5829.34	4212.61	5269.3	5116.73	0.00369621	0.00495931	0.396507	0.329288	12338.5	10422.1	-33.845328	-35.308843	-15.740824	-27.966030
78	3.247347	5592.04	4455.81	5346.65	5147.42	0.00333012	0.00311581	0.4553	0.353765	12230.9	10981.9	-33.413222	-36.728411	-15.378019	-28.072883
79	3.28898	6703.14	4420.52	5256.07	5103.15	0.00453654	0.00215522	0.380347	0.325991	12898.4	10831.2	-34.224193	-37.371322	-14.714691	-29.288504
80	3.330612	4703.63	3898.19	5149.96	4970.05	0.00591942	0.0037771	0.384802	0.299194	10637.4	10077.5	-33.664790	-33.717594	-18.311747	-26.796283
81	3.372245	6894.61	4705.06	5140.94	5196.29	0.00602338	0.00656159	0.457795	0.355033	13070.7	11283.4	-36.197681	-37.387782	-15.549341	-27.415472
82	3.413878	2629.05	3942.09	3943.91	4933.49	0.00377403	0.00320996	0.230421	0.32074	4866.5	9840.67	-37.880436	-36.303114	-28.284895	-27.288726
83	3.45551	7395.07	4501.37	5128.23	5250.47	0.00649376	0.00330916	0.444093	0.34122	13329.1	11304.9	-34.147029	-34.794545	-14.399203	-25.564726
84	3.497143	2176.99	4104.41	3516.87	4970.31	0.00785071	0.00566671	0.171258	0.317527	3423.78	10723.5	-33.755282	-36.185145	-24.803096	-27.015448
85	3.538776	2253.39	4835.6	3724.42	5152.77	0.00523708	0.00318562	0.190801	0.362919	3811.38	11348	-36.606360	-39.018228	-27.831846	-31.037622
86	3.580408	4283.42	4522.85	5033.68	5163.77	0.00209713	0.00324321	0.355638	0.350168	10680.5	11369.5	-36.646332	-38.745794	-18.361056	-28.493668
87	3.622041	6729.61	4548.67	5228.08	5116.65	0.00331067	0.00150369	0.467013	0.351425	13049.1	11175.7	-36.316443	-38.554772	-18.729421	-29.336406
88	3.663673	6386.83	4601.57	5226.61	5168.73	0.00422579	0.00164711	0.390844	0.332665	12876.9	11197.3	-37.190410	-36.353501	-15.699763	-27.079383
89	3.705306	7048.76	4352.06	5169.16	5043.57	0.00339063	0.00271252	0.511053	0.315394	13113.7	10680.5	-36.707572	-36.831410	-16.065655	-26.822554
90	3.746939	2147.27	4451.66	3645.59	5100.51	0.00473986	0.00223033	0.189165	0.363104	3531.45	10831.2	-35.028799	-37.244389	-26.015892	-28.784608
91	3.788571	2105.04	4826.71	3510.06	5188.58	0.00235118	0.00245065	0.181953	0.34074	3488.38	11434.1	-35.333331	-37.480259	-27.749167	-28.072301
92	3.830204	2161.36	4324.81	3597.57	5062.19	0.00304389	0.00344077	0.184134	0.321666	3768.31	10702	-34.658241	-38.039686	-26.595019	-29.072018
93	3.871837	2248.11	4024.52	3615.99	4925.4	0.00319479	0.0026467	0.189773	0.311246	3746.78	10508.2	-36.384042	-37.939636	-28.438366	-28.095300
94	3.913469	7193.98	5127.57	5151.8	5184.73	0.00619522	0.00370534	0.477842	0.40956	13329.1	11520.3	-35.834865	-40.974640	-15.170575	-31.080353
95	3.955102	7541.62	4368.47	5104.18	5029.27	0.00397558	0.00312424	0.455481	0.293012	13372.1	10465.1	-36.927804	-38.592897	-14.400388	-30.564180
96	3.996735	2278.52	4651.05	3679.26	5109.13	0.00425397	0.00236353	0.203249	0.337807	3725.24	11046.5	-38.903506	-39.251316	-30.714250	-28.879998
97	4.038367	6805.78	4648.03	5169.48	5215.75	0.00400918	0.00257319	0.476482	0.353105	13113.7	11089.6	-37.038415	-37.909334	-14.825949	-28.893472
98	4.08	7171.23	4798.21	5185.88	5197.5	0.00430413	0.00321723	0.389518	0.345938	13135.3	11326.5	-34.019514	-39.507582	-14.517857	-30.248080
99	4.121633	1876.36	4957.84	3336.76	5213.7	0.00574338	0.00173481	0.158742	0.375419	3014.65	11455.7	-33.745750	-39.657752	-25.914572	-29.036570
100	4.163265	1979.53	4649.16	3414.62	5168.13	0.00534525	0.00213641	0.165239	0.355961	3057.71	10981.9	-33.596086	-38.072351	-26.100774	-28.858567
101	4.204898	1943.32	3682.11	3307.33	4824.43	0.00286345	0.00411085	0.158171	0.300124	3036.18	9668.41	-35.203833	-35.487761	-27.216947	-25.898931
102	4.246531	6399.05	4307.47	5263.37	5042.51	0.00531976	0.0028384	0.45232	0.314201	13156.8	10788.1	-36.527351	-35.953005	-15.459681	-26.431247
103	4.288163	1988.83	4509.62	3374.77	5056.83	0.00370879	0.00352781	0.171066	0.355457	3337.65	11025	-35.108737	-39.927258	-25.883328	-31.179694
104	4.329796	2026.57	4402.6	3535.2	5125.01	0.00400604	0.00360405	0.180957	0.340194	3423.78	10938.9	-34.700570	-37.510658	-26.759574	-28.367857
105	4.371429	3463.42	4593.76	4744.07	5086.65	0.00338381	0.00444327	0.314603	0.392826	9173.14	11046.5	-33.940973	-40.521342	-14.243887	-31.255773
106	4.413061	6497.15	4611.52	5245.77	5088.9	0.00455773	0.00190076	0.49871	0.333302	13307.5	10874.3	-34.369223	-39.645828	-15.753404	-30.111981
107	4.454694	2238.56	4534.84	3699.69	5076.62	0.00505817	0.00235545	0.203309	0.351505	3768.31	11003.5	-36.238602	-38.766697	-14.506063	-30.130531
108	4.496327	2945.31	3876.04	4310.8	4833.32	0.00419554	0.00324142	0.247847	0.294125	7795.02	9862.21	-34.744513	-37.051164	-26.729766	-27.974121
109	4.537959	2277.72	4058.29	3701.35	4968.12	0.00505773	0.00327115	0.196431	0.326795	3875.98	10486.7	-37.393353	-38.408541	-29.829088	-29.393520
110	4.579592	6129.01	4529.88	5332.02	5127.12	0.00291783	0.00165948	0.458821	0.326099	12618.5	11218.8	-36.022317	-38.110375	-14.507432	-28.068605
111	4.621224	6696.1	4667.88	5188.64	5358.73	0.00527942	0.00234059	0.408775	0.360615	12963	11498.7	-32.724416	-36.919934	-16.106666	-29.203587
112	4.662857	4733.59	4202.18	5117.99	4964	0.00445217	0.00583964	0.407467	0.318781	10271.3	10680.5	-35.808188	-36.360773	-17.518192	-26.541684
113	4.70449	3087.91	4089.63	4305.12	4979.76	0.00429012	0.00322341	0.270826	0.315625	7213.62	10465.1	-36.186919	-36.245874	-17.004456	-26.829265
114	4.746122	6838.93	4073.72	5147.73	5087.42	0.00541047	0.00230934	0.474663	0.312713	13092.2	10895.8	-37.271032	-35.653117	-18.138814	-25.958954
115	4.787755	7069.85	5148.76	5129.96	5226.87	0.00435218	0.00550186	0.428141	0.38493	13329.1	11606.4	-34.596282	-39.915524	-14.684159	-30.157722
116	4.829388	1748.2	4767.6	3357.51	5124.64	0.00947429	0.00254703	0.157467	0.345537	2928.52	11304.9	-33.667210	-39.257860	-25.730639	-29.101703
117	4.87102	7074.7	5102.94	5161.07	5307.29	0.00616492	0.0017052	0.457592	0.369277	13113.7	11735.6	-34.007379	-40.367208	-13.394905	-30.987386
118	4.912653	6164.33	4141.42	5274.61	4981.69	0.00433998	0.00290263	0.486885	0.333495	12575.4	10723.5	-37.447583	-38.336972	-14.610203	-26.957398
119	4.954286	7251.29	5092.98	5101.85	5321.46	0.00327807	0.00321322	0.477853	0.372205	13286	11778.7	-37.829157	-39.613967	-14.845382	-29.735126
120	4.995918	2492.54	4736.85	3822.61	5192.97	0.00422186	0.00219065	0.221649	0.399812	4091.31	11304.9	-38.772358	-40.085542	-29.908952	-30.719805
121	5.037551	7719.08	4649.6	4958.8	5129.11	0.00656007	0.0025559	0.454764	0.303191	13479.8	11154.2	-35.289752	-37.007621	-14.840069	-27.912131
122	5.079184	2576.3	3680.79	3749.61	4855.27	0.005053	0.00493771	0.226643	0.25591	4263.57	9926.81	-39.096066	-33.722755	-30.136653	-25.814784
123	5.120816	2186.42	4016.96	3660.65	4987.37	0.00489511	0.00341292	0.197435	0.317601	3789.84	10422.1	-36.252125	-35.959526	-28.256745	-26.854426
124	5.162449	6550.55	3984.31	5165.88	4912.18	0.00514148	0.00192037	0.474561	0.309694	13242.9	10249.8	-36.353655	-37.006495	-15.654139	-27.052697
125	5.204082	4322.58	5270.35	4960.9	5214.85	0.00361811	0.0050102	0.373554	0.382689	10034.5	11757.1	-37.257085	-40.789592	-18.539008	-28.553452
126	5.245714	7139.81	4830.07	5218.28	5184.09	0.0041949	0.00279554	0.374222	0.336511	13113.7	11498.7	-35.286050	-39.386860	-15.034825	-29.714729
127	5.287347	2582.09	4860.23	3973.53	5173.63	0.00454456	0.00258488	0.243776	0.395604	4780.37	11175.7	-39.160213	-39.562142	-29.849634	-29.617162
128	5.32898	8137.16	4784.28	4828.59	5169.22	0.00637024	0.00336995	0.463392	0.332996	13652.1	11197.3	-36.460524	-37.770323	-13.894542	-29.746042
129	5.370612	6541.1	4436.85	5224.89	5056.39	0.004904	0.00173327	0.499598	0.349664	13436.7	10615.9	-37.004889	-37.462105	-17.661323	-28.389560
130	5.412245	2190.89	4715.97	3609.73	5156.62	0.00409017	0.00280262	0.191582	0.383327	3617.58	10981.9	-36.307685	-39.103520	-27.960401	-29.669621
131	5.453878	2407.99	4350.62	3884	5171.24	0.00295315	0.00487105	0.22816	0.34719	4285.11	10960.4	-38.130922	-35.964374	-28.756891	-27.781886
132	5.49551	7193.18	4828.08	5212.09	5080.76	0.00408163	0.00494765	0.497809	0.355227	13135.3	11111.1	-36.489226	-39.486428	-14.346771	-29.602906
133	5.537143	5701.4	4989.07	5276.11	5172.61	0.00282969	0.00250354	0.441483	0.390708	12144.7	11455.7	-37.238898	-41.565357	-15.581553	-32.708045
134	5.578776	2394.26	4686.89	3805.48	5187.18	0.00332192	0.00250149	0.220738	0.383537	4285.11	11369.5	-37.488009	-40.277012	-15.764840	-31.179922
135	5.620408	6284.27	4892.57	5246.56	5178.42	0.00408163	0.00136231	0.490679	0.348861	12963	11326.5	-36.068571	-39.829765	-17.506454	-29.868729
136	5.662041	2223.71	4986.9	3756.91	5201.79	0.00516866	0.00214168	0.201486	0.401024	3940.58	11520.3	-36.274500	-39.804052	-28.096369	-30.443925
137	5.703673	2057.31	3970.04	3561.04	4881.54	0.00254569	0.00284929	0.178788	0.326984	3445.31	9969.87	-35.755263	-37.198894	-27.866289	-27.080605
138	5.745306	2216.66	4359.01	3655.59	5145.43	0.00360152	0.00291807	0.193011	0.327658	3725.24	11175.7	-36.730010	-36.925101	-28.750271	-28.582198
139	5.786939	1971.47	4552.22	3404.9	5135.41	0.0037266	0.00341695	0.169893	0.346658	3165.38	11003.5	-35.177932	-38.573016	-26.859685	-27.753354
140	5.828571	2147.43	4466.24	3612.69	5097.46	0.003395	0.0021377	0.193374	0.356633	3574.51	10917.3	-38.518933	-39.063063	-28.761050	-28.810294
141	5.870204	2293.16	4349.68	3663.75	5064.73	0.00410933	0.00296341	0.197405	0.344853	3768.31	10680.5	-38.961814	-37.269833	-28.898929	-27.766788
142	5.911837	7318.84	4586.97	5126.61	5208.54	0.00582583	0.00219795	0.490881	0.380406	13393.7	11154.2	-34.980433	-37.637871	-15.660604	-28.811308
143	5.953469	2192.19	4514.27	3744.07	5140.78	0.00645813	0.00303706	0.205227	0.362262	3832.91	11025	-36.371421	-37.972057	-29.133546	-28.921262
144	5.995102	7852	5063.31	4934.38	5367.04	0.00724489	0.00210535	0.370371	0.3225	13479.8	11864.8	-34.315883	-36.624494	-13.205365	-28.598424
145	6.036735	2366.25	4934.66	3738.66	5169.18	0.00763855	0.00456305	0.212462	0.429208	4026.71	11369.5	-38.483905	-42.196084	-29.522834	-31.953037
146	6.078367	2429.35	4807.17	3749.95	5141.68	0.003212	0.00203105	0.21697	0.386354	4285.11	11326.5	-39.521150	-41.654211	-30.974053	-31.549673
147	6.12	2358.97	5010.86	3679.72	5188.84	0.00278483	0.00196687	0.216044	0.358643	4005.18	11627.9	-39.265446	-41.317024	-31.644202	-31.423950
148	6.161633	4356.35	5175.31	4982.79	5214.08	0.00372232	0.00216852	0.367691	0.394223	10443.6	11735.6	-35.966443	-41.960458	-13.925721	-31.887855
149	6.203265	2298.15	5024.88	3638.15	5196.77	0.00324438	0.00212189	0.191253	0.383729	3703.71	11498.7	-37.689287	-40.226963	-28.973595	-28.897861
150	6.244898	2240.62	4249.8	3755.8	5037.01	0.00491296	0.00319023	0.207274	0.356946	3768.31	10702	-37.175204	-38.784731	-28.971744	-29.420061
151	6.286531	7516.14	4985.62	5027.85	5257.55	0.00543746	0.00196907	0.422556	0.362541	13458.3	11692.5	-35.262545	-39.125431	-15.390285	-29.816479
152	6.328163	2606.81	4715.37	4032.84	5184.5	0.00530667	0.0031978	0.247261	0.370319	4888.04	11304.9	-38.577959	-38.535470	-30.745963	-29.623117
153	6.369796	6297.51	4508	5206.32	5125.64	0.00305379	0.00250293	0.520042	0.340891	12769.2	11003.5	-39.356094	-37.995837	-17.093685	-28.530177
154	6.411429	5833.55	4659.84	5279.8	5053.24	0.00347382	0.00264694	0.428987	0.34368	12338.5	10766.6	-35.840015	-40.766987	-14.541286	-30.141150
155	6.453061	5446.05	4392.37	5283.96	5019.26	0.00261585	0.00350443	0.426413	0.322392	11950.9	10895.8	-37.685151	-38.516692	-15.578579	-28.796868
156	6.494694	2716.85	4700.85	3913.69	5150.19	0.00375604	0.00318759	0.236882	0.382388	4801.9	11068.1	-41.613863	-40.730542	-32.104266	-29.496800
157	6.536327	7670.04	4741.4	4986.97	5077.21	0.00686844	0.00265557	0.440801	0.347674	13242.9	11175.7	-36.687989	-39.525805	-14.771228	-29.733460
158	6.577959	5901.35	4416.41	5250.23	5058.3	0.00577719	0.00213046	0.468269	0.3458	12338.5	10852.7	-38.581830	-37.709131	-16.162629	-28.794559
159	6.619592	2180.49	4200.25	3650.42	5048.49	0.00357678	0.00404307	0.198266	0.310601	3811.38	10852.7	-36.922255	-36.617937	-28.364107	-27.961349
160	6.661224	2460.46	4842.95	3824.85	5192.02	0.00278022	0.00378406	0.221228	0.381544	4112.84	11477.2	-36.840741	-38.500011	-14.975861	-28.959870
161	6.702857	7841.57	4534.55	4960.21	5139.98	0.00629477	0.00399999	0.374018	0.314007	13479.8	10788.1	-34.935721	-36.873741	-14.261462	-27.951146
162	6.74449	5051.58	4515.91	5171.23	5152.94	0.00710687	0.00274822	0.41563	0.360409	11498.7	11197.3	-38.604041	-38.707317	-28.748430	-29.188435
163	6.786122	2447.65	4776.13	3726.97	5205.89	0.00237277	0.0026303	0.221534	0.364638	4177.44	11412.6	-39.601887	-39.270603	-30.022139	-29.434101
164	6.827755	7136.94	4437.93	5098.67	5085.71	0.00573387	0.00194788	0.434595	0.325106	13393.7	10874.3	-36.518466	-39.505113	-17.301213	-31.017024
165	6.869388	3214.1	4477.43	4416.15	5063.74	0.00477755	0.00248559	0.284002	0.325905	7342.82	10831.2	-42.603195	-38.360352	-32.849444	-28.528914
166	6.91102	6252.21	5054.88	5233.15	5230.72	0.00410127	0.00243973	0.498139	0.370728	12640	11627.9	-37.723526	-40.434761	-14.816477	-29.021005
